date,pm2.5
20140101,73
20140102,86
20140103,59
20140104,83
20140105,79
20140106,71
20140107,49
20140108,74
20140109,47
20140110,42
20140111,42
20140112,50
20140113,58
20140114,57
20140115,40
20140116,35
20140117,42
20140118,49
20140119,63
20140120,64
20140121,65
20140122,48
20140123,23
20140124,27
20140125,43
20140126,56
20140127,45
20140128,52
20140129,49
20140130,46
20140131,36
20140201,38
20140202,64
20140203,62
20140204,65
20140205,66
20140206,50
20140207,35
20140208,57
20140209,65
20140210,63
20140211,48
20140212,34
20140213,24
20140214,32
20140215,42
20140216,46
20140217,43
20140218,32
20140219,37
20140220,56
20140221,52
20140222,50
20140223,44
20140224,21
20140225,18
20140226,30
20140227,28
20140228,35
20140301,21
20140302,24
20140303,26
20140304,36
20140305,27
20140306,22
20140307,25
20140308,35
20140309,44
20140310,43
20140311,35
20140312,36
20140313,33
20140314,23
20140315,26
20140316,24
20140317,25
20140318,32
20140319,26
20140320,22
20140321,34
20140322,20
20140323,31
20140324,24
20140325,27
20140326,30
20140327,19
20140328,38
20140329,29
20140330,30
20140331,30
20140401,32
20140402,27
20140403,40
20140404,28
20140405,37
20140406,28
20140407,27
20140408,24
20140409,20
20140410,24
20140411,38
20140412,40
20140413,34
20140414,28
20140415,31
20140416,28
20140417,15
20140418,23
20140419,31
20140420,27
20140421,34
20140422,24
20140423,28
20140424,38
20140425,25
20140426,22
20140427,18
20140428,17
20140429,25
20140430,20
20140501,29
20140502,33
20140503,32
20140504,24
20140505,17
20140506,21
20140507,24
20140508,18
20140509,32
20140510,18
20140511,26
20140512,21
20140513,21
20140514,15
20140515,25
20140516,25
20140517,16
20140518,19
20140519,21
20140520,28
20140521,26
20140522,19
20140523,23
20140524,32
20140525,28
20140526,25
20140527,20
20140528,27
20140529,26
20140530,21
20140531,26
20140601,25
20140602,18
20140603,26
20140604,31
20140605,33
20140606,23
20140607,24
20140608,20
20140609,24
20140610,21
20140611,18
20140612,22
20140613,29
20140614,25
20140615,20
20140616,24
20140617,23
20140618,28
20140619,34
20140620,32
20140621,32
20140622,32
20140623,29
20140624,40
20140625,26
20140626,31
20140627,27
20140628,27
20140629,29
20140630,27
20140701,34
20140702,25
20140703,16
20140704,27
20140705,26
20140706,32
20140707,18
20140708,22
20140709,14
20140710,16
20140711,15
20140712,18
20140713,16
20140714,23
20140715,22
20140716,30
20140717,28
20140718,27
20140719,25
20140720,23
20140721,26
20140722,28
20140723,16
20140724,17
20140725,21
20140726,17
20140727,18
20140728,21
20140729,23
20140730,28
20140731,16
20140801,28
20140802,30
20140803,19
20140804,18
20140805,22
20140806,22
20140807,25
20140808,24
20140809,25
20140810,32
20140811,22
20140812,27
20140813,20
20140814,27
20140815,25
20140816,30
20140817,30
20140818,33
20140819,25
20140820,25
20140821,20
20140822,16
20140823,23
20140824,19
20140825,25
20140826,13
20140827,15
20140828,28
20140829,22
20140830,27
20140831,35
20140901,17
20140902,22
20140903,25
20140904,32
20140905,31
20140906,25
20140907,35
20140908,22
20140909,10
20140910,18
20140911,25
20140912,31
20140913,37
20140914,18
20140915,19
20140916,20
20140917,28
20140918,17
20140919,19
20140920,24
20140921,26
20140922,14
20140923,17
20140924,20
20140925,35
20140926,32
20140927,37
20140928,21
20140929,28
20140930,36
20141001,48
20141002,45
20141003,33
20141004,32
20141005,34
20141006,51
20141007,38
20141008,45
20141009,26
20141010,26
20141011,20
20141012,47
20141013,40
20141014,12
20141015,16
20141016,23
20141017,45
20141018,44
20141019,42
20141020,40
20141021,23
20141022,26
20141023,31
20141024,44
20141025,41
20141026,48
20141027,52
20141028,39
20141029,42
20141030,45
20141031,43
20141101,44
20141102,41
20141103,24
20141104,30
20141105,22
20141106,28
20141107,29
20141108,33
20141109,55
20141110,41
20141111,46
20141112,40
20141113,41
20141114,38
20141115,47
20141116,54
20141117,38
20141118,35
20141119,43
20141120,34
20141121,60
20141122,56
20141123,79
20141124,86
20141125,55
20141126,41
20141127,65
20141128,75
20141129,76
20141130,69
20141201,76
20141202,54
20141203,63
20141204,45
20141205,49
20141206,52
20141207,80
20141208,78
20141209,57
20141210,64
20141211,67
20141212,77
20141213,40
20141214,23
20141215,57
20141216,51
20141217,76
20141218,55
20141219,46
20141220,52
20141221,78
20141222,96
20141223,82
20141224,52
20141225,72
20141226,68
20141227,34
20141228,62
20141229,56
20141230,52
20141231,59
